66	6.7082	6.40312	5.19615	5.91608	7.68115	6.7082	6.08276	7	4.3589	6.40312	
67	6.16441	6	5.47723	6.78233	7.34847	6.48074	6.16441	6.63325	3.74166	5.83095	
68	5.74456	5.38516	5.19615	7.28011	7.28011	7.14143	7.14143	6.40312	4.58258	5.19615	
69	5.47723	4.69042	5.09902	7.2111	7.07107	7.87401	6.16441	6.78233	4.24264	4.69042	
70	5.74456	4.12311	5.38516	8.06226	7.14143	7.28011	5.19615	6.40312	4.12311	5.19615	
71	6.63325	4.69042	4.47214	8.60233	8.12404	7.2111	5.47723	6.63325	5.09902	5.83095	
72	5.74456	4.12311	4.58258	9.43398	8.30662	8.06226	4.58258	5.74456	5.38516	5.38516	
73	6.63325	4.89898	5.09902	8.60233	8.12404	7.2111	3.74166	6.16441	5.47723	6.16441	
74	7	5.38516	4.58258	9.21954	7.14143	8.06226	3.31662	5.91608	6.40312	6.55744	
75	6.16441	6.16441	4.89898	9.27362	7.07107	8.12404	3.74166	5.83095	6.16441	6.16441	
76	6.55744	5.91608	4.58258	8.66025	7.14143	8.66025	4.3589	5.91608	5.19615	6.7082	
77	6.16441	5.09902	3.74166	7.87401	6.16441	7.87401	4.24264	6.48074	4.24264	7.48331	
78	5.91608	5	3.31662	7.81025	7.14143	8.06226	4.3589	5.74456	4.12311	6.7082	
79	6.48074	4.24264	4.24264	7.87401	8.12404	8.7178	4.69042	6.48074	4.47214	6	
80	6.7082	3.60555	4.58258	7.81025	8.06226	8.06226	4.3589	7.28011	4.58258	6.40312	
81	7.34847	4.24264	5.47723	8.60233	8.12404	8.7178	4.69042	7.87401	5.09902	7.07107	
82	7.14143	5	6.40312	7.81025	9.11043	9.43398	4.3589	7.14143	5.38516	7.68115	
83	7.34847	4.47214	7.34847	7.07107	9.05539	9.27362	3.74166	7.87401	6	8.3666	
84	7.14143	4.58258	8.30662	7.14143	10.0499	10.0499	4.12311	7.81025	6.7082	7.68115	
85	7.34847	5.09902	8.60233	7.87401	10	9.27362	3.74166	8.60233	7.34847	8.3666	
86	8.06226	4.3589	8.30662	8.06226	10.0499	9.94987	3.60555	8.06226	7.14143	8.06226	
87	8.83176	4.24264	8.12404	7.87401	10.0995	10.0995	3.74166	7.61577	7.87401	8.7178	
88	8.66025	5	8.30662	7.14143	9.11043	9.43398	4.58258	8.06226	7.81025	8.544	
89	7.87401	4.24264	8.12404	7.87401	9.27362	8.7178	4.24264	8.60233	8.48528	9.27362	
90	8.66025	3.60555	8.30662	8.544	9.53939	8.06226	4.12311	7.81025	7.81025	8.544	
91	9.48683	2.82843	8.12404	7.87401	9.48683	8.83176	4.47214	7.87401	8.60233	8.7178	
92	8.66025	3.60555	8.06226	8.66025	10.4403	9.11043	4.12311	8.66025	8.06226	8.544	
93	9.27362	3.74166	9.05539	8.12404	10.4881	9.89949	4.24264	9.48683	8.12404	8.48528	
94	9.21954	3.31662	9.11043	7.28011	10.6301	9.43398	4.58258	10.3441	8.66025	8.544	
95	8.60233	3.16228	8.12404	7.87401	9.69536	9.05539	4.24264	10.4881	8.83176	7.87401	
96	8.66025	3.60555	8.30662	8.544	9.53939	9.43398	4.58258	11	8.66025	7.28011	
97	8.12404	3.74166	8.24621	9.27362	9.48683	9.79796	3.74166	10.4881	8.83176	6.78233	
98	7.68115	3.60555	9.21954	9.21954	10.4403	9.43398	4.3589	11.3578	8.66025	7.28011	
99	6.78233	3.74166	9.05539	9.89949	10.198	8.60233	3.74166	10.4881	8.83176	6.48074	
100	6.7082	3	10.0499	9.21954	9.21954	9.11043	3.31662	10.0499	9.11043	7.14143	
